id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Beat Takeover,The Drop Kings,hip-hop,angry,0.88,95,0.35,0.85,0.08
12,Neon Pulse,Synth Wave Collective,electronic,energetic,0.94,138,0.79,0.92,0.02
13,Moonlight Sonata Rising,Orchestra Dreams,classical,peaceful,0.32,68,0.62,0.15,0.65
14,Dusty Roads Home,Amber Fields,country,melancholic,0.55,100,0.48,0.52,0.78
15,Velvet Dreams,Luna Nights,r-b,groovy,0.72,105,0.75,0.81,0.42
16,Thunder Strike,Iron Storm,metal,angry,0.97,165,0.25,0.58,0.05
17,Island Vibes,Sunny Vibes,reggae,upbeat,0.68,92,0.81,0.77,0.72
18,Autumn Whispers,Woodland Wanderers,folk,wistful,0.38,78,0.56,0.35,0.88
